"Gene.Symbol","P.Value","adj.P.Val","logFC"
"PPP1R13B",0.0517122907103657,0.118174501477568,-0.290130159455588
"PPP1R13L",0.0424896811139273,0.101664718039938,-0.391257375939293
"PPP1R14A",0.032885727419059,0.0836615254300263,-0.581279271876965
"PPP1R14B",0.0480157876111169,0.111500375271124,-0.427495269958758
"PPP1R14C",0.000442331413575978,0.00270790580169057,0.701781505588349
"PPP1R14D",0.000186337032816909,0.00133015842331445,0.645260446882817
"PPP1R15A",0.745430711808077,0.828143690783131,-0.0543950137029274
"PPP1R15B",0.602551773105176,0.718783566042255,-0.0652488310281654
"PPP1R16A",0.616502800556455,0.730009687306243,-0.119761043284573
"PPP1R16B",0.861535024000044,0.911643395435476,-0.0309031747605125
"PPP1R18",0.29373864617755,0.433939081392614,0.2031782817917
"PPP1R21",0.186950788740578,0.310397912749013,0.135124069786413
"PPP1R26",0.500375966480194,0.630763920380645,-0.111813133486202
"PPP1R27",0.530483051135284,0.657921079722566,-0.103786433555657
"PPP1R32",0.936521135027592,0.959015980684189,-0.0103314948800698
"PPP1R35",0.456855322138486,0.593697684162382,-0.147768367781334
"PPP1R36",0.0238213639010151,0.0650164872282542,0.193551201011672
"PPP1R37",0.105645294479083,0.204147593702016,0.239968427568455
"PPP2CA",0.38674949311647,0.529339864242181,-0.114420515218139
"PPP2CB",0.931257055033723,0.955957751865305,-0.0160949231315918
"PPP2R1A",0.0012437378309289,0.00628306230409689,-0.495763839919991
"PPP2R1B",0.00627560185892173,0.0228456639100648,0.391646454501161
"PPP2R2A",0.66857035850363,0.771071893104774,-0.0729682250810022
"PPP2R2C",0.0336195711713412,0.0850158261378596,-0.594257258968428
"PPP2R2D",0.173379473723616,0.293485607844327,-0.154409547166639
"PPP2R3A",0.00043609710594264,0.00267819192209095,-0.517275883021362
"PPP2R3B",0.239192540693742,0.373143248796359,0.235042145616462
"PPP2R3C",0.102473386812716,0.199639028106034,0.212006349749822
"PPP2R5A",0.420370613604292,0.560671959669323,-0.126608118710516
"PPP2R5B",0.0853256894373905,0.173479545968671,-0.210109139410661
"PPP2R5C",0.861131759349328,0.911289436167138,0.0162947714032414
"PPP2R5D",0.160989324435476,0.278745210968888,-0.151914534087369
"PPP2R5E",0.0920596573060384,0.18398890170411,0.1702959767618
"PPP3CA",1.37432721700631e-07,3.63342147882809e-06,-1.77329314040447
"PPP3CB",0.940017407484818,0.961453248978902,0.0112979289872654
"PPP3CC",0.0616119081019343,0.135222062202506,-0.199558664867601
"PPP3R1",0.822299512002022,0.885332909963477,0.0301566288133802
"PPP4C",0.022715072097381,0.0626137129448055,-0.341349311868476
"PPP4R1",0.100165612436792,0.196267685774412,0.174812939845948
"PPP4R2",0.133611577161289,0.243145264070756,0.200567538507322
"PPP4R3A",6.97072841708347e-05,0.000607977526798815,0.363358374321516
"PPP4R3B",0.41347376048562,0.554166965107206,-0.0889977196250574
"PPP4R4",7.01680820792177e-05,0.000610889823100346,0.403160548979086
"PPP5C",0.10838211173969,0.208274444411106,0.203295760804783
"PPP6C",0.256285070832677,0.392223369447279,-0.141984154092073
"PPP6R1",0.634824976562858,0.74415354719231,0.0636328542544763
"PPP6R2",0.00487192835686665,0.0185585312150745,-0.419216681149967
"PPP6R3",0.377969303569179,0.521349713100177,-0.0916509842685555
"PPRC1",0.396888114085868,0.539060619858094,0.109438598565039
"PPT1",0.050967543924818,0.1167821222751,-0.310744150284339
"PPT2",0.381659041107237,0.524591192944175,0.138849721825299
"PPTC7",0.595986401719888,0.713823671980543,0.0601559081708789
"PPWD1",8.68160342783239e-05,0.000716266898439824,0.461270388977633
"PQBP1",0.517481430542784,0.646601797149232,-0.107408112607164
"PRAC1",0.00207783191498834,0.00943137569134367,-1.60818998204293
"PRAC2",0.127010035220738,0.23431630249532,-0.532991447154142
"PRADC1",0.166127416974141,0.285426888681362,-0.271783694407396
"PRAF2",0.751248868352214,0.832997369816948,-0.0601012286888724
"PRAG1",0.0349450984104629,0.0874557300809505,-0.356883216050446
"PRAM1",0.255563326082913,0.391627623345075,-0.259825947347807
"PRAME",0.474397628451982,0.608544949243372,-0.258099832824117
"PRAP1",4.70768961760069e-05,0.000439847291845546,1.54959361954054
"PRB3",0.859322089011443,0.909984271536581,0.0273279421986381
"PRC1",4.72416468546981e-06,6.83902161882519e-05,0.943996369057308
"PRCC",0.0037037407604365,0.0149956568904811,-0.368151924422423
"PRCD",0.94543968957633,0.965344432649849,-0.00708507725006455
"PRCP",0.0786123660047189,0.16286013990485,-0.34606659547908
"PRDM1",0.363208214360802,0.506162740541063,-0.165419432079356
"PRDM2",0.868826021282907,0.915840111477601,0.0166828776330155
"PRDM4",0.18317690785848,0.305833505439026,0.133755257136647
"PRDM5",0.13185423820669,0.240678184277772,0.142005344362657
"PRDM8",0.137581348763988,0.248675163227153,0.257616845212026
"PRDM10",0.814857053225009,0.879460783712283,0.0204466836523031
"PRDM11",0.00668014119818457,0.0240016628576619,0.193614986642042
"PRDM15",5.49108302286711e-05,0.000499508308510402,0.407035888442445
"PRDM16",0.00015700852476387,0.00115534153428663,0.317502566858207
"PRDX1",0.110795338316841,0.211752814696928,-0.345837720480498
"PRDX2",0.0109233236508449,0.0355162496831055,-0.457269570359838
"PRDX3",0.977481272769159,0.986049552318178,-0.0058680318632327
"PRDX4",0.031448434558522,0.080802691376441,-0.503825685590794
"PRDX5",0.0350241269746734,0.0875893509055191,-0.362313670716695
"PRDX6",2.22719446518223e-05,0.000244094851025163,-0.887117092928838
"PREB",0.0224878385585796,0.0621565150949811,-0.299616774807545
"PRELID1",1.32608487479251e-09,7.41933660797369e-08,-0.981063877355198
"PRELID2",0.00826064584887302,0.0284818846764409,0.325520196206425
"PRELID3A",5.58288418075722e-05,0.000505194050152603,0.622918867898324
"PRELID3B",0.385104705895573,0.527904044385592,-0.143645451149716
"PRELP",0.0690321544251979,0.147449106275479,-0.617407929860133
"PREP",0.254900992345407,0.391133057225647,0.171634503669131
"PREPL",0.0182048932869346,0.0528031017203478,-0.317652791212583
"PREX1",0.0304219839132983,0.0788164123286397,-0.45641985908631
"PREX2",0.135844081675007,0.246145742639825,0.204797916313351
"PRF1",0.123621680848442,0.229991657072769,0.384304271808964
"PRG2",0.897587787831197,0.934625931250157,-0.0485164841040384
"PRG3",0.382596863768327,0.525537327741253,-0.265853269097339
"PRG4",0.000114881349942602,0.000896802650784324,0.85438505638492
"PRH1",6.49151679162187e-05,0.000575667709081027,0.456128869346782
"PRICKLE1",0.556179998472509,0.679694857491974,-0.0789504344398383
"PRICKLE2",1.20747327912795e-05,0.000148367203632515,0.51263166290167
"PRICKLE3",0.000236634066254155,0.00161776390933843,-0.5741740017184
"PRICKLE4",0.0545117590420208,0.123105938619626,-0.395709923735018
"PRIM1",3.00963042838605e-06,4.71782369880031e-05,0.899218437006446
"PRIM2",0.932162201474595,0.956498329147383,0.0180804530618205
"PRIMA1",0.0192587465917276,0.0552247761191834,0.565234992053499
"PRIMPOL",0.0159517034584926,0.0476616261017224,0.28464433778772
"PRKAA1",0.000794910045707149,0.00437609400472836,-0.461592582700464
"PRKAA2",0.373777552846826,0.516946247449416,-0.150811646363132
"PRKAB1",0.15526985592269,0.271507931725547,0.182007102434366
"PRKAB2",0.0157250048675818,0.0470930819258977,0.337962818488945
"PRKACA",0.317616405776812,0.458777110710885,-0.14028586961362
"PRKACB",0.00446158231847679,0.0173445130261627,-0.597501853367237
"PRKAG1",0.000235092937903759,0.00160864519547109,-0.492405973710104
"PRKAG2",0.000526802807126398,0.0031227856240621,-0.601462069333942
"PRKAR1A",0.441620801587866,0.580216154744505,0.104876083247427
"PRKAR1B",0.00358361769646892,0.014581584434059,-0.496764829632541
"PRKAR2A",0.0127812490758589,0.0400792492237331,-0.334584098811024
"PRKAR2B",0.121200078016532,0.226533061632971,-0.39721000152794
"PRKCA",0.881574260791177,0.924464555254968,0.033364249419883
"PRKCB",0.676557986444458,0.776590487546712,-0.0905407600962022
"PRKCD",6.43972035587772e-08,1.93303714125467e-06,-1.1668066009684
"PRKCE",0.170697104793046,0.290529542584259,0.146736038790735
"PRKCH",0.000408059411392537,0.00253509768030456,-0.619694240399978
"PRKCI",0.013039426200788,0.0407242614630768,-0.350518201754863
"PRKCQ",0.169428000460011,0.288971660527411,0.226640650629847
"PRKCSH",0.00540192486110297,0.0202152090473733,-0.436589780235968
"PRKCZ",0.00051063066253731,0.00304202581647467,-0.512080974996874
"PRKD1",0.0984226581148757,0.193564976718382,-0.425664778237396
"PRKD2",0.00640440409105827,0.0231934527506025,-0.357382285350086
"PRKD3",0.0301119517253295,0.0782366279633999,0.326639833477781
"PRKDC",0.000617916083495988,0.00354901543292903,0.660543125370583
"PRKG1",0.839659619021102,0.897181780344027,-0.0260481401404077
"PRKG2",0.354876210408376,0.497814689444778,0.277498045962634
"PRKRA",0.0765462854987829,0.159495408788347,0.215923023504075
"PRKRIP1",0.227925017828991,0.359943864016294,-0.140846756950567
"PRKX",0.889565802038556,0.929249517165273,0.0256191021160853
"PRLR",0.528421449932362,0.655900502776921,-0.150652608566309
"PRMT1",0.807230544564928,0.874208710474747,-0.0369422028707939
"PRMT2",0.789495015329001,0.86137325245295,-0.0262586326620077
"PRMT3",0.133602421450247,0.243145264070756,0.20279031160479
"PRMT5",0.0744196381724818,0.156070049297128,-0.248067778917423
"PRMT6",0.98606870879525,0.991114008535847,0.00336057852310339
"PRMT7",0.0635214189726433,0.138317511019567,-0.20513054718119
"PRMT9",0.918746951606864,0.948101396925145,-0.009906329278303
"PRND",0.372549143833309,0.515865272651292,-0.149031635701217
"PRNP",0.000170327467436489,0.00123634797340827,-0.718897865492458
"PROB1",0.000401606948704685,0.00250503948430386,-0.631135819743129
"PROC",0.0020978094489122,0.00950259919371525,1.11984237829647
"PROCA1",4.91127840178962e-07,1.04914664380445e-05,0.806881362860612
"PROCR",0.0137366424421215,0.042389929222367,-0.593323595261757
"PRODH",1.71634692608569e-05,0.000197157571768496,0.533171590340089
"PRODH2",7.88296108220117e-05,0.000667406835977523,0.926243102968659
"PROK2",0.681052517632394,0.779961185236301,-0.0962271535272946
"PROM2",7.25523635251349e-08,2.12441533876711e-06,-1.66406229166629
"PROS1",0.400526626696368,0.542576627304879,0.207643423417966
"PROSER1",0.304534622615263,0.445519684046594,0.157830165842062
"PROSER2",0.0210634485979341,0.0590895984799962,-0.395354450408948
"PROSER3",0.00323418619545389,0.0134058054399703,0.489618926199143
"PROX1",1.17844570989413e-19,1.14301868574044e-16,2.25993378981837
"PROX2",0.000841658968701135,0.00457663123170039,0.348896663265373
"PROZ",0.000115946673810014,0.000903489535422212,0.819625194415817
"PRPF3",0.026392758118435,0.07044878108703,0.31378272587478
"PRPF4",0.176409636494032,0.297640539321585,0.18171984437932
"PRPF4B",0.00202552809924245,0.00923448019158153,0.395570015893976
"PRPF6",0.476945068593688,0.611004665635252,-0.0862495125747479
"PRPF8",0.161091564996124,0.278891119720532,-0.232211458540704
"PRPF18",0.843872279981675,0.899701422989532,0.0223619490967652
"PRPF19",0.00426156127650059,0.0167388431916003,-0.444891161328678
"PRPF31",0.913911005724463,0.945028311423104,0.0124681392599594
"PRPF38A",0.38393518195641,0.526955875898251,0.0904452998325341
"PRPF38B",0.301652860963166,0.442429897862903,0.116031104639154
"PRPF39",0.000244613574372349,0.00166206570082508,0.548999557876415
"PRPF40A",0.0700918333769171,0.1490279712531,0.185583594077214
"PRPF40B",0.0366114869556809,0.0906322644863952,0.283772372699205
"PRPH",0.000761386123911979,0.00421998259178215,0.641602157517122
"PRPH2",0.00379559248189776,0.0152996882406679,0.245355946125762
"PRPS1",0.867774730174023,0.914939604427656,-0.0309409903343143
